Bermuda,Oct2019,0
Bermuda,Nov2019,0
Bermuda,Dec2019,0
Bermuda,Jan2020,0
Bermuda,Feb2020,0
Bermuda,Mar2020,0
Bermuda,Apr2020,0
Bermuda,May2020,0
Bermuda,Jun2020,0
Bermuda,Jul2020,0
Bermuda,Aug2020,0
Bermuda,Sep2020,0
Bermuda,Oct2020,0
Bolivia,Aug2019,0
Bolivia,Sep2019,0
Bolivia,Oct2019,0
Bolivia,Nov2019,0
Bolivia,Dec2019,0
Bolivia,Jan2020,0
Bolivia,Feb2020,0
Bolivia,Mar2020,0
Bolivia,Apr2020,0
Bolivia,May2020,0
Bolivia,Jun2020,0
Bolivia,Jul2020,0
Bolivia,Aug2020,0
Bolivia,Sep2020,0
Bolivia,Oct2020,0
Brazil,Aug2019,"1,330"
Brazil,Sep2019,"1,325"
Brazil,Oct2019,"1,577"
Brazil,Nov2019,"1,671"
Brazil,Dec2019,"1,466"
Brazil,Jan2020,"1,600"
Brazil,Feb2020,"1,420"
Brazil,Mar2020,"1,431"
Brazil,Apr2020,"1,865"
Brazil,May2020,"1,296"
Brazil,Jun2020,"1,667"
Brazil,Jul2020,"1,716"
Brazil,Aug2020,"1,287"
Brazil,Sep2020,"1,135"
Brazil,Oct2020,"1,221"
Brunei Darussalam,Aug2019,105
Brunei Darussalam,Sep2019,106
Brunei Darussalam,Oct2019,125
Brunei Darussalam,Nov2019,121
Brunei Darussalam,Dec2019,114
Brunei Darussalam,Jan2020,89
Brunei Darussalam,Feb2020,76
Brunei Darussalam,Mar2020,93
Brunei Darussalam,Apr2020,96
Brunei Darussalam,May2020,95
Brunei Darussalam,Jun2020,70
Brunei Darussalam,Jul2020,54
Brunei Darussalam,Aug2020,85
Brunei Darussalam,Sep2020,95
Brunei Darussalam,Oct2020,92
Bulgaria,Aug2019,0
Bulgaria,Sep2019,0
Bulgaria,Oct2019,0
Bulgaria,Nov2019,0
Bulgaria,Dec2019,0
Bulgaria,Jan2020,0
Bulgaria,Feb2020,0
Bulgaria,Mar2020,0
Bulgaria,Apr2020,0
Bulgaria,May2020,0
Bulgaria,Jun2020,0
Bulgaria,Jul2020,0
Bulgaria,Aug2020,0
Bulgaria,Sep2020,0
Bulgaria,Oct2020,0
Canada,Aug2019,"3,295"
Canada,Sep2019,"3,243"
Canada,Oct2019,"3,290"
Canada,Nov2019,"3,125"
Canada,Dec2019,"3,380"
Canada,Jan2020,"3,375"
Canada,Feb2020,"3,360"
Canada,Mar2020,"3,446"
Canada,Apr2020,"2,847"
Canada,May2020,"2,784"
Canada,Jun2020,"2,727"
Canada,Jul2020,"3,102"
Canada,Aug2020,"3,032"
Canada,Sep2020,"3,023"
Canada,Oct2020,"3,007"
Chile,Aug2019,0
Chile,Sep2019,0
Chile,Oct2019,0
Chile,Nov2019,0
Chile,Dec2019,0
Chile,Jan2020,0
Chile,Feb2020,0
Chile,Mar2020,0
Chile,Apr2020,0
Chile,May2020,0
Chile,Jun2020,0
Chile,Jul2020,0
Chile,Aug2020,0
Chile,Sep2020,0
Chile,Oct2020,0
China,Aug2019,0
